# R manifest
# Manifest type: session
# Dependency repositories: 5
# repo: https://cran.rstudio.com/
# repo: https://bioconductor.org/packages/3.7/bioc
# repo: https://bioconductor.org/packages/3.7/data/annotation
# repo: https://bioconductor.org/packages/3.7/data/experiment
# repo: https://bioconductor.org/packages/3.7/workflows
"name","url","type","branch","subdir","extra","version"
"AnnotationDbi","http://bioconductor.org/packages/3.7/bioc","bioc","none",".",NA,"1.42.1"
"assertthat","http://cran.rstudio.com","cran","none",".",NA,"0.2.0"
"backports","http://cran.rstudio.com","cran","none",".",NA,"1.1.2"
"base64enc","http://cran.rstudio.com","cran","none",".",NA,"0.1-3"
"BH","http://cran.rstudio.com","cran","none",".",NA,"1.66.0-1"
"bindr","http://cran.rstudio.com","cran","none",".",NA,"0.1.1"
"bindrcpp","http://cran.rstudio.com","cran","none",".",NA,"0.2.2"
"Biobase","http://bioconductor.org/packages/3.7/bioc","bioc","none",".",NA,"2.40.0"
"BiocGenerics","http://bioconductor.org/packages/3.7/bioc","bioc","none",".",NA,"0.26.0"
"bit","https://cran.rstudio.com","cran","none",".",NA,"1.1-14"
"bit64","https://cran.rstudio.com","cran","none",".",NA,"0.9-7"
"blob","https://cran.rstudio.com","cran","none",".",NA,"1.1.1"
"caTools","https://cran.rstudio.com","cran","none",".",NA,"1.17.1"
"cli","http://cran.rstudio.com","cran","none",".",NA,"1.0.0"
"codetools","https://cran.rstudio.com","cran","none",".",NA,"0.2-15"
"colorspace","http://cran.rstudio.com","cran","none",".",NA,"1.3-2"
"crayon","http://cran.rstudio.com","cran","none",".",NA,"1.3.4"
"crosstalk","https://cran.rstudio.com","cran","none",".",NA,"1.0.0"
"DBI","https://cran.rstudio.com","cran","none",".",NA,"1.0.0"
"dichromat","http://cran.rstudio.com","cran","none",".",NA,"2.0-0"
"digest","http://cran.rstudio.com","cran","none",".",NA,"0.6.15"
"dplyr","http://cran.rstudio.com","cran","none",".",NA,"0.7.6"
"DT","https://cran.rstudio.com","cran","none",".",NA,"0.4"
"edgeR","http://bioconductor.org/packages/3.7/bioc","bioc","none",".",NA,"3.22.3"
"evaluate","http://cran.rstudio.com","cran","none",".",NA,"0.10.1"
"ggplot2","http://cran.rstudio.com","cran","none",".",NA,"2.2.1"
"glue","http://cran.rstudio.com","cran","none",".",NA,"1.2.0"
"gtable","http://cran.rstudio.com","cran","none",".",NA,"0.2.0"
"highr","http://cran.rstudio.com","cran","none",".",NA,"0.7"
"hms","http://cran.rstudio.com","cran","none",".",NA,"0.4.2"
"htmltools","http://cran.rstudio.com","cran","none",".",NA,"0.3.6"
"htmlwidgets","https://cran.rstudio.com","cran","none",".",NA,"1.2"
"httpuv","https://cran.rstudio.com","cran","none",".",NA,"1.4.4.2"
"IRanges","http://bioconductor.org/packages/3.7/bioc","bioc","none",".",NA,"2.14.10"
"jsonlite","http://cran.rstudio.com","cran","none",".",NA,"1.5"
"KernSmooth","http://cran.rstudio.com/src/contrib","CRAN","trunk",".",NA,"2.23-15"
"knitr","http://cran.rstudio.com","cran","none",".",NA,"1.20"
"labeling","http://cran.rstudio.com","cran","none",".",NA,"0.3"
"later","https://cran.rstudio.com","cran","none",".",NA,"0.7.3"
"lattice","http://cran.rstudio.com","cran","none",".",NA,"0.20-35"
"lazyeval","http://cran.rstudio.com","cran","none",".",NA,"0.2.1"
"limma","http://bioconductor.org/packages/3.7/bioc","bioc","none",".",NA,"3.36.2"
"locfit","http://cran.rstudio.com","cran","none",".",NA,"1.5-9.1"
"magrittr","http://cran.rstudio.com","cran","none",".",NA,"1.5"
"markdown","http://cran.rstudio.com","cran","none",".",NA,"0.8"
"MASS","http://cran.rstudio.com","cran","none",".",NA,"7.3-50"
"memoise","https://cran.rstudio.com","cran","none",".",NA,"1.1.0"
"mime","http://cran.rstudio.com","cran","none",".",NA,"0.5"
"munsell","http://cran.rstudio.com","cran","none",".",NA,"0.5.0"
"org.Hs.eg.db","http://bioconductor.org/packages/3.7/data/annotation","bioc","none",".",NA,"3.6.0"
"pillar","http://cran.rstudio.com","cran","none",".",NA,"1.2.3"
"pkgconfig","http://cran.rstudio.com","cran","none",".",NA,"2.0.1"
"plogr","http://cran.rstudio.com","cran","none",".",NA,"0.2.0"
"plyr","http://cran.rstudio.com","cran","none",".",NA,"1.8.4"
"prettyunits","https://cran.rstudio.com","cran","none",".",NA,"1.0.2"
"promises","https://cran.rstudio.com","cran","none",".",NA,"1.0.1"
"purrr","http://cran.rstudio.com","cran","none",".",NA,"0.2.5"
"R6","http://cran.rstudio.com","cran","none",".",NA,"2.2.2"
"RColorBrewer","http://cran.rstudio.com","cran","none",".",NA,"1.1-2"
"Rcpp","http://cran.rstudio.com","cran","none",".",NA,"0.12.17"
"reactome.db","http://bioconductor.org/packages/3.7/data/annotation","bioc","none",".",NA,"1.64.0"
"readr","http://cran.rstudio.com","cran","none",".",NA,"1.1.1"
"reshape2","http://cran.rstudio.com","cran","none",".",NA,"1.4.3"
"rlang","http://cran.rstudio.com","cran","none",".",NA,"0.3.0"
"rmarkdown","http://cran.rstudio.com","cran","none",".",NA,"1.10"
"rprojroot","http://cran.rstudio.com","cran","none",".",NA,"1.3-2"
"RSQLite","https://cran.rstudio.com","cran","none",".",NA,"2.1.1"
"S4Vectors","http://bioconductor.org/packages/3.7/bioc","bioc","none",".",NA,"0.18.3"
"scales","http://cran.rstudio.com","cran","none",".",NA,"0.5.0"
"shiny","https://cran.rstudio.com","cran","none",".",NA,"1.1.0"
"sourcetools","https://cran.rstudio.com","cran","none",".",NA,"0.1.7"
"statmod","https://cran.rstudio.com","cran","none",".",NA,"1.4.30"
"stringi","http://cran.rstudio.com","cran","none",".",NA,"1.2.3"
"stringr","http://cran.rstudio.com","cran","none",".",NA,"1.3.1"
"tibble","http://cran.rstudio.com","cran","none",".",NA,"1.4.2"
"tidyr","http://cran.rstudio.com","cran","none",".",NA,"0.8.1"
"tidyselect","http://cran.rstudio.com","cran","none",".",NA,"0.2.4"
"tinytex","http://cran.rstudio.com","cran","none",".",NA,"0.5"
"utf8","http://cran.rstudio.com","cran","none",".",NA,"1.1.4"
"viridisLite","http://cran.rstudio.com","cran","none",".",NA,"0.3.0"
"xtable","https://cran.rstudio.com","cran","none",".",NA,"1.8-2"
"yaml","http://cran.rstudio.com","cran","none",".",NA,"2.1.19"
"BiocInstaller","https://bioconductor.org/packages/3.7/bioc/src/contrib","bioc","trunk",".",NA,"1.30.0"
"bitops","https://cran.rstudio.com/src/contrib","CRAN","trunk",".",NA,"1.0-6"
"docopt","https://cran.rstudio.com/src/contrib","CRAN","trunk",".",NA,"0.4.5"
"littler","https://cran.rstudio.com/src/contrib","CRAN","trunk",".",NA,"0.3.3"
"RCurl","https://cran.rstudio.com/src/contrib","CRAN","trunk",".",NA,"1.95-4.10"
